fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240504 144856	884	1452347	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	453	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.116442212945253	0.620141147691607	1657	1940	12549	56497107.946027	1
20240504 145730	884	1452347	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	72	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.338295321238792	0.688560357001972	1402	1486	13537	53341983.5082459	2
20240504 150242	884	1452347	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	255	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.368849628071935	0.756701571551134	823	1192	11947	44705806.5967017	3
20240504 150900	884	1452347	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1027	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.207485957027722	0.652841042911386	39	456	15006	44892704.6476762	4
20240504 151922	884	1452347	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	187	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0424421492051256	0.58984832307637	1500	1673	10716	60240425.7871064	5
20240504 152657	884	1452347	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	75	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.243669583994377	0.845772706995654	1182	678	10592	53372305.8470765	6
20240504 153710	884	1452347	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	169	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.190173889492852	0.545496719712	544	915	12064	50768059.970015	7
20240504 154230	884	1452347	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	46	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.260531921063233	0.888848961466128	421	1074	13592	53238692.6536732	8
20240504 154727	884	1452347	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.415484429826206	0.6293954721918	676	811	12668	46527394.3028486	9
20240504 155409	884	1452347	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	95	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.290488329970906	0.726328796299964	1874	1847	13375	53173530.7346327	10
20240504 160807	884	1452347	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	328	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0713761257044061	0.857304004042929	1936	538	12526	58507517.2413793	11
