fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240504 231016	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	222	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.116442212945253	0.620141147691607	1657	1940	11978	58617664.167916	1
20240504 231459	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	91	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.338295321238792	0.688560357001972	1402	1486	12559	54308967.0164918	2
20240504 231941	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	231	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.368849628071935	0.756701571551134	823	1192	11005	53466919.0404798	3
20240504 232105	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	44	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.207485957027722	0.652841042911386	39	456	17179	52332745.1274363	4
20240504 232859	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	411	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0424421492051256	0.58984832307637	1500	1673	13300	59870434.7826087	5
20240504 233454	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	100	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.243669583994377	0.845772706995654	1182	678	16497	52681893.5532234	6
20240504 234058	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	127	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.190173889492852	0.545496719712	544	915	15118	55667589.2053973	7
20240504 234453	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.260531921063233	0.888848961466128	421	1074	14079	53806718.1409295	8
20240504 234824	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	47	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.415484429826206	0.6293954721918	676	811	16033	47063818.5907046	9
20240504 235326	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	229	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.290488329970906	0.726328796299964	1874	1847	13159	53718502.2488756	10
20240505 000144	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	196	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0713761257044061	0.857304004042929	1936	538	12895	57992361.3193403	11
20240505 000945	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	174	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.031696986097487	0.564620512489012	905	284	13499	59756733.1334333	12
20240505 001455	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	59	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.401693661799895	0.508955064343208	1704	947	11549	51749401.7991005	13
20240505 001917	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	319	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.468036906809092	0.799595661668782	182	1632	12371	48132997.0014993	14
20240505 002117	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.475857335697412	0.803811210537733	377	197	17499	47785398.8005997	15
20240505 002609	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	118	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.152025137848681	0.701898286024771	1074	1321	14056	56861625.1874063	16
20240505 003359	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	168	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0529500793536993	0.500111599447117	1145	997	10944	59278644.6776612	17
20240505 005512	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1071	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0138752527062377	0.592993594929137	1513	628	14172	58773715.1424288	18
20240505 010614	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	811	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0358069910278113	0.688951062187196	764	1641	11317	58376016.4917541	19
20240505 011403	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	222	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0618007684196819	0.507727196880242	1985	1692	11999	61577512.7436282	20
20240505 013507	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1387	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0546264253866236	0.501471396901882	2048	2000	11590	58352398.8005997	21
20240505 014451	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	380	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0726381165815417	0.5001735856777	1895	1355	12606	59238371.814093	22
20240505 015350	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	540	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0405009006120968	0.641332931110646	2047	1479	14297	58257605.6971514	23
20240505 020342	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	403	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0699570757501733	0.5000027390781	1412	1646	12679	59425188.9055472	24
20240505 021510	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	389	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0585495090484764	0.50031122185351	1621	100	13319	60385608.6956522	25
20240505 022909	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	604	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0613520309952324	0.500115782138374	1499	285	11696	60611370.3148426	26
20240505 023706	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	114	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0602291342264471	0.50024447372979	1368	101	13901	59141077.9610195	27
20240505 024821	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	290	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0511163927093335	0.500026531095463	1913	364	12588	59436179.910045	28
20240505 025728	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	241	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0645967617949157	0.500018468931797	1601	679	14270	59703403.2983508	29
20240505 030614	884	876472	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	334	1	1	1	FALSE	1	0.1	50	0.5	FALSE	900001	0.0626233473305305	0.500688356882366	1643	1595	11331	60440703.1484258	30
